album,year,number,title,lyric,,
folklore,2020,11,invisible strings,"Green was the color of the grass Where I used to read at Centennial Park I used to think I would meet somebody there Teal was the color of your shirt When you were sixteen at the yogurt shop You used to work at to make a little money Time, curious time Gave me no compasses, gave me no signs Were there clues I didn't see? And isn't it just so pretty to think All along there was some Invisible string Tying you to me? Ooh Bad was the blood of the song in the cab On your first trip to LA You ate at my favorite spot for dinner Bold was the waitress on our three year trip Getting lunch down by the lakes She said I looked like an American singer Time, mystical time Cuttin' me open, then healin' me fine Were there clues I didn't see? And isn't it just so pretty to think All along there was some Invisible string Tying you to me? Ooh A string that pulled me Out of all the wrong arms right into that dive bar Something wrapped all of my past mistakes in barbed wire Chains around my demons, wool to brave the seasons One single thread of gold tied me to you Cold was the steel of my axe to grind For the boys who broke my heart Now I send their babies presents Gold was the color of the leaves When I showed you around Centennial Park Hell was the journey but it brought me heaven Time, wondrous time Gave me the blues and then purple pink skies And it's cool, baby, with me And isn't it just so pretty to think All along there was some Invisible string Tying you to me? Ooh Hee Ooh",,
folklore,2020,12,mad woman ,"What did you think I'd say to that? Does a scorpion sting when fighting back? They strike to kill, and you know I will You know I will What do you sing on your drive home? Do you see my face in the neighbor's lawn? Does she smile? Or does she mouth, ""Fuck you forever""? Every time you call me crazy, I get more crazy What about that? And when you say I seem angry, I get more angry And there's nothing like a mad woman What a shame she went mad No one likes a mad woman You made her like that And you'll poke that bear 'til her claws come out And you find something to wrap your noose around And there's nothing like a mad woman Now I breathe flames each time I talk My cannons all firin' at your yacht They say, ""Move on"", but you know I won't And women like hunting witches too Doing your dirtiest work for you It's obvious that wanting me dead has really brought you two together Every time you call me crazy, I get more crazy What about that? And when you say I seem angry, I get more angry And there's nothing like a mad woman What a shame she went mad No one likes a mad woman You made her like that And you'll poke that bear 'til her claws come out And you find something to wrap your noose around And there's nothing like a mad woman I'm taking my time, taking my time 'Cause you took everything from me Watching you climb, watching you climb Over people like me The master of spin has a couple side flings Good wives always know She should be mad, should be scathing like me, but No one likes a mad woman What a shame she went mad You made her like that",,
folklore,2020,13,epiphany,"Keep your helmet, keep your life, son Just a flesh wound, here's your rifle Crawling up the beaches now ""Sir, I think he's bleeding out"" And some things you just can't speak about With you, I serve With you, I fall down, down Watch you breathe in Watch you breathing out, out Something med school did not cover Someone's daughter, someone's mother Holds your hand through plastic now ""Doc, I think she's crashing out"" And some things you just can't speak about Only 20 minutes to sleep But you dream of some epiphany Just one single glimpse of relief To make some sense of what you've seen With you, I serve With you, I fall down, down (down) Watch you breathe in Watch you breathing out, out With you, I serve With you, I fall down (down), down (down) Watch you breathe in Watch you breathing out (out), out Only 20 minutes to sleep But you dream of some epiphany Just one single glimpse of relief To make some sense of what you've seen",,
folklore,2020,14,betty,"Betty, I won't make assumptions About why you switched your homeroom but I think it's 'cause of me Betty, one time I was riding on my skateboard When I passed your house It's like I couldn't breathe You heard the rumors from Inez You can't believe a word she says Most times, but this time it was true The worst thing that I ever did Was what I did to you But if I just showed up at your party Would you have me? Would you want me? Would you tell me to go straight to hell? Or lead me to the garden? In the garden would you trust me If I told you it was just a summer thing? I'm only 17, I don't know anything But I know I miss you Betty, I know where it all went wrong Your favorite song was playing From the far side of the gym I was nowhere to be found I hate the crowds, you know that Plus, I saw you dance with him You heard the rumors from Inez You can't believe a word she says Most times, but this time it was true The worst thing that I ever did Was what I did to you But if I just showed up at your party Would you have me? Would you want me? Would you tell me to go straight to hell? Or lead me to the garden? In the garden would you trust me If I told you it was just a summer thing? I'm only seventeen, I don't know anything But I know I miss you I was walking home on broken cobblestones Just thinking of you when she pulled up like A figment of my worst intentions She said ""James, get in, let's drive"" Those days turned into nights Slept next to her, but I dreamt of you all summer long Betty, I'm here on your doorstep And I planned it out for weeks now But it's finally sinkin' in Betty, right now is the last time I can dream about what happens when You see my face again The only thing I wanna do Is make it up to you So I showed up at your party Yeah, I showed up at your party Yeah, I showed up at your party Will you have me? Will you love me? Will you kiss me on the porch In front of all your stupid friends? If you kiss me, will it be just like I dreamed it? Will it patch your broken wings? I'm only 17, I don't know anything But I know I miss you Standing in your cardigan Kissin' in my car again Stopped at a streetlight You know I miss you",,
folklore,2020,15,peace,"Our coming-of-age has come and gone Suddenly the summer, it's clear I never had the courage of my convictions As long as danger is near And it's just around the corner, darling 'Cause it lives in me No, I could never give you peace But I'm a fire, and I'll keep your brittle heart warm If your cascade ocean wave blues come All these people think love's for show But I would die for you in secret The devil's in the details, but you got a friend in me Would it be enough if I could never give you peace? Your integrity makes me seem small You paint dreamscapes on the wall I talk shit with my friends It's like I'm wasting your honor And you know that I'd swing with you for the fences Sit with you in the trenches Give you my wild, give you a child Give you the silence that only comes when two people understand each other Family that I chose, now that I see your brother as my brother Is it enough? But there's robbers to the east, clowns to the west I'd give you my sunshine, give you my best But the rain is always gonna come if you're standing with me But I'm a fire, and I'll keep your brittle heart warm If your cascade ocean wave blues come All these people think love's for show But I would die for you in secret The devil's in the details, but you got a friend in me Would it be enough if I could never give you peace? Would it be enough if I could never give you peace? Would it be enough if I could never give you peace?",,
folklore,2020,16,hoax,"My only one My smoking gun My eclipsed sun This has broken me down My twisted knife My sleepless night My win-less fight This has frozen my ground Stood on the cliffside Screaming, ""Give me a reason"" Your faithless love's the only hoax I believe in Don't want no other shade of blue But you No other sadness in the world would do My best laid plan Your sleight of hand My barren land I am ash from your fire Stood on the cliffside Screaming ""Give me a reason"" Your faithless love's the only hoax I believe in Don't want no other shade of blue But you No other sadness in the world would do You know I left a part of me back in New York You knew the hero died, so what's the movie for? You knew it still hurts underneath my scars From when they pulled me apart You knew the password, so I let you in the door You knew you won, so what's the point of keeping score? You knew it still hurts underneath my scars From when they pulled me apart But what you did was just as dark Darling, this was just as hard As when they pulled me apart My only one My kingdom come undone My broken drum You have beaten my heart Don't want no other shade of blue But you No other sadness in the world would do",,
folklore,2020,17,the lakes,"Is it romantic how all my elegies eulogize me? I'm not cut out for all these cynical clones These hunters with cell phones Take me to the lakes where all the poets went to die I don't belong, and my beloved, neither do you Those Windermere peaks look like a perfect place to cry I'm setting off, but not without my muse What should be over burrowed under my skin In heart-stopping waves of hurt I've come too far to watch some namedropping sleaze Tell me what are my words worth Take me to the lakes where all the poets went to die I don't belong, and my beloved, neither do you Those Windermere peaks look like a perfect place to cry I'm setting off, but not without my muse I want auroras and sad prose I want to watch wisteria grow right over my bare feet 'Cause I haven't moved in years And I want you right here A red rose grew up out of ice frozen ground With no one around to tweet it While I bathe in cliffside pools With my calamitous love and insurmountable grief Take me to the lakes where all the poets went to die I don't belong, and my beloved, neither do you Those Windermere peaks look like a perfect place to cry I'm setting off, but not without my muse No, not without you",,
evermore,2020,1,willow,"I'm like the water when your ship rolled in that night Rough on the surface but you cut through like a knife And if it was an open-shut case I never would've known from that look on your face Lost in your current like a priceless wine The more that you say The less I know Wherever you stray I follow I'm begging for you to take my hand Wreck my plans That's my man Life was a willow and it bent right to your wind (oh) Head on the pillow, I could feel you sneaking in As if you were a mythical thing Like you were a trophy or a champion ring And there was one prize I'd cheat to win The more that you say The less I know Wherever you stray I follow I'm begging for you to take my hand Wreck my plans That's my man You know that my train could take you home Anywhere else is hollow I'm begging for you to take my hand Wreck my plans That's my man Life was a willow and it bent right to your wind (oh) They count me out time and time again Life was a willow and it bent right to your wind (oh) But I come back stronger than a 90's trend Wait for the signal and I'll meet you after dark Show me the places where the others gave you scars Now this is an open-shut case Guess I should've known from the look on your face Every bait and switch was a work of art The more that you say The less I know Wherever you stray I follow I'm begging for you to take my hand Wreck my plans That's my man You know that my train could take you home Anywhere else is hollow I'm begging for you to take my hand Wreck my plans That's my man The more that you say The less I know Wherever you stray I follow Begging for you to take my hand Wreck my plans That's my man You know that my train could take you home Anywhere else is hollow Begging for you to take my hand Wreck my plans That's my man Hey, that's my man That's my man Yeah, that's my man Every bait and switch was a work of art That's my man Hey, that's my man I'm begging for you to take my hand Wreck my plans That's my man",,
evermore,2020,2,champagne problems,"You booked the night train for a reason So you could sit there in this hurt Bustling crowds or silent sleepers You're not sure which is worse Because I dropped your hand while dancing Left you out there standing Crestfallen on the landing Champagne problems Your mom's ring in your pocket My picture in your wallet Your heart was glass, I dropped it Champagne problems You told your family for a reason You couldn't keep it in Your sister splashed out on the bottle Now no one's celebrating Dom Pérignon, you brought it No crowd of friends applauded Your hometown skeptics called it Champagne problems You had a speech, you're speechless Love slipped beyond your reaches And I couldn't give a reason Champagne problems Your Midas touch on the Chevy door November flush and your flannel cure ""This dorm was once a madhouse"" I made a joke, ""Well, it's made for me"" How evergreen, our group of friends Don't think we'll say that word again And soon they'll have the nerve to deck the halls That we once walked through One for the money, two for the show I never was ready, so I watch you go Sometimes you just don't know the answer 'Til someone's on their knees and asks you ""She would've made such a lovely bride What a shame she's fucked in her head, "" they said But you'll find the real thing instead She'll patch up your tapestry that I shred And hold your hand while dancing Never leave you standing Crestfallen on the landing With champagne problems Your mom's ring in your pocket Her picture in your wallet You won't remember all my Champagne problems You won't remember all my Champagne problems",,
evermore,2020,3,gold rush,"Gleaming Twinkling Eyes like sinking ships On waters so inviting I almost jump in But I don't like a gold rush, gold rush I don't like anticipating my face in a red flush I don't like that anyone would die to feel your touch Everybody wants you Everybody wonders what it would be like to love you Walk past, quick brush I don't like slow motion double vision in rose blush I don't like that falling feels like flying 'til the bone crush Everybody wants you But I don't like a gold rush What must it be like To grow up that beautiful? With your hair falling into place like dominos I see me padding 'cross your wooden floors With my Eagles t-shirt hanging from the door At dinner parties I call you out on your contrarian shit And the coastal town We wandered 'round had never Seen a love as pure as it And then it fades into the gray of my day old tea 'Cause you know it could never be 'Cause I don't like a gold rush, gold rush I don't like anticipating my face in a red flush I don't like that anyone would die to feel your touch Everybody wants you Everybody wonders what it would be like to love you Walk past, quick brush I don't like slow motion double vision in rose blush I don't like that falling feels like flying 'til the bone crush Everybody wants you But I don't like a gold rush What must it be like To grow up that beautiful? With your hair falling into place like dominoes My mind turns your life into folklore I can't dare to dream about you anymore At dinner parties Won't call you out on your contrarian shit And the coastal town We never found will never See a love as pure as it 'Cause it fades into the gray of my day old tea 'Cause it will never be Gleaming Twinkling Eyes like sinking ships On waters so inviting I almost jump in",,
evermore,2020,4,tis the damn season,"If I wanted to know who you were hanging with While I was gone I would have asked you It's the kind of cold, fogs up windshield glass But I felt it when I passed you There's an ache in you put there by the ache in me But if it's all the same to you It's the same to me So we could call it even You could call me babe for the weekend 'Tis the damn season, write this down I'm stayin' at my parents' house And the road not taken looks real good now And it always leads to you in my hometown I park?d my car right between the Methodist And th? school that used to be ours The holidays linger like bad perfume You can run, but only so far I escaped it too, remember how you watched me leave But if it's okay with you, it's okay with me We could call it even You could call me babe for the weekend 'Tis the damn season, write this down I'm stayin' at my parents' house And the road not taken looks real good now Time flies, messy as the mud on your truck tires Now I'm missing your smile, hear me out We could just ride around And the road not taken looks real good now And it always leads to you in my hometown Sleep in half the day just for old times' sake I won't ask you to wait if you don't ask me to stay So I'll go back to L.A. and the so-called friends Who'll write books about me, if I ever make it And wonder about the only soul who can tell which smiles I'm fakin' And the heart I know I'm breakin' is my own To leave the warmest bed I've ever known We could call it even Even though I'm leavin' And I'll be yours for the weekend 'Tis the damn season We could call it even You could call me babe for the weekend 'Tis the damn season, write this down I'm stayin' at my parents' house And the road not taken looks real good now Time flies, messy as the mud on your truck tires Now I'm missing your smile, hear me out We could just ride around And the road not taken looks real good now And it always leads to you in my hometown It always leads to you in my hometown",,
evermore,2020,5,tolerate it,"I sit and watch you reading with your Head low I wake and watch you breathing with your Eyes closed I sit and watch you And notice everything you do or don't do You're so much older and wiser and I I wait by the door like I'm just a kid Use my best colors for your portrait Lay the table with the fancy shit And watch you tolerate it If it's all in my head tell me now Tell me I've got it wrong somehow I know my love should be celebrated But you tolerate it I greet you with a battle hero's welcome I take your indiscretions all in good fun I sit and listen I polish plates until they gleam and glisten You're so much older and wiser and I I wait by the door like I'm just a kid Use my best colors for your portrait Lay the table with the fancy shit And watch you tolerate it If it's all in my head tell me now Tell me I've got it wrong somehow I know my love should be celebrated But you tolerate it While you were out building other worlds, where was I? Where's that man who'd throw blankets over my barbed wire? I made you my temple, my mural, my sky Now I'm begging for footnotes in the story of your life Drawing hearts in the byline Always taking up too much space or time You assume I'm fine But what would you do if I, I Break free and leave us in ruins Took this dagger in me and removed it Gain the weight of you then lose it Believe me, I could do it If it's all in my head tell me now Tell me I've got it wrong somehow I know my love should be celebrated But you tolerate it I sit and watch you",,
evermore,2020,6,"no body, no crime (ft. HAIM)","He did it He did it Este's a friend of mine We meet up every Tuesday night for dinner and a glass of wine Este's been losing sleep Her husband's acting different and it smells like infidelity She says, ""That ain't my merlot on his mouth"" ""That ain't my jewelry on our joint account"" No, there ain't no doubt I think I'm gonna call him out She says ""I think he did it but I just can't prove it"" I think he did it but I just can't prove it I think he did it but I just can't prove it No, no body, no crime But I ain't letting up until the day I die No, no I think he did it No, no He did it Este wasn't there Tuesday night at Olive Garden, at her job, or anywhere He reports his missing wife And I noticed when I passed his house his truck has got some brand new tires And his mistress moved in Sleeps in Este's bed and everything No, there ain't no doubt Somebody's gotta catch him out 'Cause I think he did it but I just can't prove it (he did it) I think he did it but I just can't prove it (he did it) I think he did it but I just can't prove it No, no body, no crime But I ain't letting up until the day I die No, no I think he did it No, no He did it Good thing my daddy made me get a boating license when I was fifteen And I've cleaned enough houses to know how to cover up a scene Good thing Este's sister's gonna swear she was with me (""She was with me dude"") Good thing his mistress took out a big life insurance policy They think she did it but they just can't prove it They think she did it but they just can't prove it She thinks I did it but she just can't prove it No, no body, no crime I wasn't letting up until the day he No, no body, no crime I wasn't letting up until the day he No, no body, no crime I wasn't letting up until the day he died",,
evermore,2020,7,happiness,"Honey, when I'm above the trees I see this for what it is But now I'm right down in it All the years I've given Is just shit we're dividing up Showed you all of my hiding spots I was dancing when the music stopped And in the disbelief I can't face reinvention I haven't met the new me yet There'll be happiness after you But there was happiness because of you Both of these things can be true There is happiness Past the blood and bruise Past the curses and cries Beyond the terror in the nightfall Haunted by the look in my eyes That would've loved you for a lifetime Leave it all behind And there is happiness Tell me, when did your winning smile Begin to look like a smirk? When did all our lessons start to look like weapons pointed at my deepest hurt? I hope she'll be a beautiful fool Who takes my spot next to you No, I didn't mean that Sorry, I can't see facts through all of my fury You haven't met the new me yet There'll be happiness after me But there was happiness because of me Both of these things I believe There is happiness In our history Across our great divide There is a glorious sunrise Dappled with the flickers of light From the dress I wore at midnight Leave it all behind And there is happiness I can't make it go away by making you a villain I guess it's the price I pay for seven years in heaven And I pulled your body into mine every goddamn night now I get fake niceties No one teaches you what to do When a good man hurts you And you know you hurt him too Honey, when I'm above the trees I see it for what it is But now my eyes leak acid rain On the pillow where you used to lay your head After giving you the best I had Tell me what to give after that All you want from me now Is the green light of forgiveness You haven't met the new me yet And I think she'll give you that There'll be happiness after you But there was happiness because of you too Both of these things can be true There is happiness In our history Across our great divide There is a glorious sunrise Dappled with the flickers of light From the dress I wore at midnight Leave it all behind Oh, leave it all behind Leave it all behind And there is happiness",,
evermore,2020,8,dorothea,"Hey Dorothea Do you ever stop and think about me? When we were younger Down in the park Honey, making a lark of the misery You got shiny friends since you left town A tiny screen's the only place I see you now And I got nothing but well wishes for ya Ooh This place is the same as it ever was Ooh But you don't like it that way It's never too late To come back to my side The stars in your eyes Shined brighter in Tupelo And if you're ever tired of being known For who you know You know, you'll always know me Dorothea (ah-ah) Dorothea (ah-ah) Ooh, you're a queen Selling dreams Selling make up and magazines Ooh, from you I'd buy anything Hey Dorothea Do you ever stop and think about me? When it was calmer Skipping the prom Just to piss off your mom And her pageant schemes And damn, Dorothea They all wanna be ya But are you still the same soul I met under the bleachers? Well Ooh I guess I'll never know Ooh And you'll go on with the show But it's never too late To come back to my side The stars in your eyes Shined brighter in Tupelo And if you're ever tired of being known For who you know You know, you'll always know me Dorothea (ah-ah) Dorothea (ah-ah) Ooh Ooh Ooh-woo-ooh-ooh, ooh-ooh-ooh Ooh Ooh Ooh-woo-ooh-ooh, ooh-ooh-ooh Dorothea (ah-ah)",,
evermore,2020,9,coney island (ft. The National),"Break my soul in two looking for you But you're right here If I can't relate to you anymore Then who am I related to? And if this is the long haul How'd we get here so soon? Did I close my fist around something delicate? Did I shatter you? And I'm sitting on a bench in Coney Island Wondering, ""Where did my baby go?"" The fast times, the bright lights, the merry-go Sorry for not making you my centerfold Over and over Lost again with no surprises Disappointments close your eyes And it gets colder and colder When the sun goes down The question pounds my head What's a lifetime of achievement If I pushed you to the edge But you were too polite to leave me? Do you miss the rogue Who coaxed you into paradise and left you there? Will you forgive my soul When you're too wise to trust me and too old to care? 'Cause we were like the mall before the internet It was the one place to be The mischief, the gift-wrapped suburban dreams Sorry for not winning you an arcade ring Over and over Lost again with no surprises Disappointments close your eyes And it gets colder and colder When the sun goes down Were you waiting at our old spot In the tree line, by the gold clock? Did I leave you hanging every single day? Were you standing in the hallway with a big cake? Happy birthday Did I paint your bluest skies the darkest gray? A universe away And when I got into the accident The sight that flashed before me was your face But when I walked up to the podium I think that I forgot to say your name I'm on a bench in Coney Island Wondering, ""Where did my baby go?"" The fast times, the bright lights, the merry-go Sorry for not making you my centerfold Over and over Lost again with no surprises Disappointments close your eyes And it gets colder and colder When the sun goes down When the sun goes down The sight that flashed before me was your face When the sun goes down But I think that I forgot to say your name Over and over Sorry for not making you my, making you my Making you my centerfold",,
